WWW.GUERRADASFINANCAS.COM,,,,
,TICKER,LOGO,VARIAÇÃO,COTAÇÃO
,BNBR3,,0,"R$ 99,83"
,SCAR3,,"-2,23","R$ 20,21"
,GPIV33,,"-0,25","R$ 3,96"
,CLSC3,,"-2,74","R$ 75,95"
,HBRE3,,"0,47","R$ 4,26"
,BRAP3,,0,"R$ 16,66"
,SAPR3,,"1,21","R$ 5,02"
,GOAU4,,"0,36","R$ 11,06"
,BRAP4,,0,"R$ 17,62"
,TKNO4,,"-1,05","R$ 83,00"
,NEOE3,,"0,58","R$ 19,10"
,CLSC4,,"2,48","R$ 82,50"
,MOAR3,,0,"R$ 411,00"
,GOAU3,,"-0,76","R$ 10,51"
,PINE3,,"-6,2","R$ 4,39"
,SAPR11,,"0,78","R$ 26,00"
,SAPR4,,"0,58","R$ 5,23"
,GGBR3,,"2,72","R$ 19,26"
,CMIG4,,"5,22","R$ 12,09"
,DEXP4,,"0,37","R$ 8,11"
,BMEB3,,0,"R$ 36,00"
,CGAS3,,"-0,46","R$ 128,00"
,EQMA3B,,"2,3","R$ 23,99"
,MTSA4,,"0,24","R$ 33,55"
,DEXP3,,"-1,08","R$ 8,21"
,BRSR6,,"-2,03","R$ 10,60"
,CSMG3,,"4,45","R$ 24,64"
,CEEB5,,0,"R$ 35,70"
,CEEB3,,"-2,75","R$ 38,17"
,BOBR4,,"-6,08","R$ 2,47"
,BMEB4,,"-3,69","R$ 37,37"
,CGRA3,,"0,97","R$ 25,06"
,JHSF3,,0,"R$ 4,45"
,WIZC3,,"0,35","R$ 5,79"
,TECN3,,"1,63","R$ 5,60"
,MTRE3,,"1,57","R$ 3,88"
,PLAS3,,"3,17","R$ 6,19"
,CGRA4,,"0,32","R$ 25,45"
,HBOR3,,"-0,55","R$ 1,80"
,BRSR3,,0,"R$ 11,80"
,EVEN3,,"1,78","R$ 5,73"
,LEVE3,,"-0,04","R$ 27,94"
,GGBR4,,"1,21","R$ 20,03"
,CSRN5,,,#N/A
,CAMB3,,"2,39","R$ 11,59"
,CSRN3,,,#N/A
,CGAS5,,"-1,9","R$ 129,97"
,ABCB4,,"0,53","R$ 20,72"
,RANI3,,"-2,55","R$ 6,88"
,LAVV3,,"2,57","R$ 9,17"
,COCE5,,"0,53","R$ 26,55"
,POMO3,,"0,86","R$ 7,06"
,TRPL4,,"0,21","R$ 24,20"
,SOJA3,,"-3,41","R$ 11,63"
,MDNE3,,"1,17","R$ 14,66"
,CMIG3,,"6,59","R$ 15,53"
,CPFE3,,"-0,22","R$ 32,36"
,MELK3,,0,"R$ 3,70"
,EQPA6,,0,"R$ 8,00"
,CSRN6,,,#N/A
,KEPL3,,"0,29","R$ 10,39"
,MRSA5B,,"3,57","R$ 29,00"
,MRSA5B,,"3,57","R$ 29,00"
,COCE3,,0,"R$ 28,51"
,ROMI3,,"0,32","R$ 9,54"
,EQPA3,,"-3,5","R$ 5,51"
,CIEL3,,,#N/A
,BRSR5,,0,"R$ 17,94"
,ITSA3,,"-0,66","R$ 10,49"
,ITSA4,,"-0,86","R$ 10,42"
,ECOR3,,"0,15","R$ 6,72"
,BMGB4,,"0,25","R$ 4,00"
,VALE3,,"-0,56","R$ 56,84"
,CEBR5,,"0,3","R$ 16,85"
,PSSA3,,"-0,49","R$ 38,58"
,ENGI4,,"0,42","R$ 7,21"
,TUPY3,,"-7,43","R$ 22,31"
,TRIS3,,"-1,06","R$ 5,60"
,CYRE3,,"-3,06","R$ 21,20"
,MRSA6B,,0,"R$ 29,99"
,MRSA6B,,0,"R$ 29,99"
,MNPR3,,"2,29","R$ 20,51"
,MRSA3B,,"-6,67","R$ 28,00"
,MRSA3B,,"-6,67","R$ 28,00"
,SMTO3,,"1,02","R$ 24,79"
,RSUL4,,"-0,83","R$ 60,00"
,WLMM3,,"0,58","R$ 27,00"
,EKTR3,,"2,84","R$ 40,03"
,TXRX3,,0,"R$ 10,00"
,BEES3,,"0,6","R$ 8,45"
,PLPL3,,"-1,3","R$ 12,93"
,FIQE3,,"-0,52","R$ 3,80"
,SUZB3,,"1,34","R$ 60,55"
,REDE3,,"-0,3","R$ 6,71"
,CEBR6,,"0,06","R$ 18,13"
,EKTR4,,"0,02","R$ 45,44"
,JSLG3,,"-1,97","R$ 6,98"
,BBDC3,,"0,5","R$ 12,02"
,ITUB3,,"-0,7","R$ 29,88"
,NTCO3,,"0,14","R$ 14,38"
,BBSE3,,"-0,39","R$ 33,41"
,EQPA7,,0,"R$ 8,24"
,HAGA3,,"-0,41","R$ 2,44"
,PRIO3,,"1,67","R$ 3.950,00"
,CMIN3,,"0,96","R$ 5,28"
,VULC3,,"0,25","R$ 16,10"
,BGIP4,,"-3,12","R$ 23,25"
,BEES4,,"0,35","R$ 8,58"
,CAML3,,"-1,65","R$ 7,73"
,CEBR3,,"-3,11","R$ 18,40"
,TRPL3,,"-0,52","R$ 30,75"
,POMO4,,"1,07","R$ 9,42"
,LJQQ3,,"-2,81","R$ 2,77"
,SHUL4,,"0,69","R$ 5,82"
,TTEN3,,"4,13","R$ 14,38"
,PFRM3,,"-1,4","R$ 7,05"
,EGIE3,,"0,48","R$ 39,42"
,BBDC4,,"0,37","R$ 13,53"
,BRBI11,,"3,7","R$ 15,40"
,CSUD3,,"1,53","R$ 15,90"
,ENGI11,,"1,65","R$ 41,82"
,BLAU3,,"-4,66","R$ 14,92"
,BMKS3,,"-0,13","R$ 307,60"
,BGIP3,,"3,75","R$ 26,00"
,TGMA3,,"-0,1","R$ 31,32"
,BPAC5,,"-0,11","R$ 8,70"
,GRND3,,"-0,93","R$ 5,31"
,DXCO3,,"-0,78","R$ 7,66"
,ITUB4,,"-0,29","R$ 34,42"
,UGPA3,,"-6,22","R$ 19,29"
,BMIN4,,0,"R$ 16,10"
,MDIA3,,"4,27","R$ 25,40"
,WLMM4,,0,"R$ 29,80"
,IRBR3,,"-1,23","R$ 40,00"
,RAPT3,,"-1,58","R$ 9,35"
,BALM4,,"2,6","R$ 10,26"
,UNIP5,,"2,06","R$ 50,00"
,SANB3,,"-0,89","R$ 12,20"
,RECV3,,"-0,6","R$ 16,66"
,MILS3,,"1,38","R$ 10,32"
,UNIP3,,"6,02","R$ 48,62"
,UNIP6,,"3,86","R$ 48,71"
,UCAS3,,"-0,46","R$ 2,15"
,SANB11,,"-1,23","R$ 25,68"
,USIM3,,"-0,67","R$ 5,95"
,FESA4,,"-3,69","R$ 7,57"
,TAEE3,,"-0,44","R$ 11,29"
,TAEE11,,"-1,11","R$ 33,72"
,TAEE4,,"-0,35","R$ 11,33"
,ENMT4,,"-0,01","R$ 84,90"
,USIM5,,"0,16","R$ 6,10"
,GEPA4,,"-1,52","R$ 29,75"
,GEPA3,,0,"R$ 33,50"
,HYPE3,,"-0,34","R$ 20,60"
,VITT3,,"8,96","R$ 5,84"
,DIRR3,,"-2,12","R$ 30,00"
,SANB4,,"-1,74","R$ 13,54"
,RAPT4,,"-1,68","R$ 10,53"
,LOGG3,,"2,5","R$ 22,14"
,TASA4,,"-2,11","R$ 9,26"
,TASA3,,"-2,57","R$ 9,49"
,EMAE4,,0,"R$ 40,99"
,BRIT3,,"1,54","R$ 3,30"
